JobID,Title,ExperienceLevel,Skills,Responsibilities,Keywords,MinYears,MaxYears,CleanedSkills,PrimarySkills,SecondarySkills
NET-F-001,.NET Developer,Fresher,"['C#', 'VB.NET basics', '.NET Framework', '.NET Core fundamentals', 'ASP.NET', 'MVC', 'HTML', 'CSS', 'JavaScript basics', 'SQL Server', 'Entity Framework basics', 'LINQ', 'Visual Studio', 'Git', 'Unit Testing basics']","['Assist in coding and debugging applications', 'Learn and apply .NET Framework and Core fundamentals', 'Support team in building ASP.NET MVC web applications', 'Write basic SQL queries and work with Entity Framework', 'Collaborate with peers to solve issues', 'Participate in code reviews for learning', 'Follow best practices in coding', 'Work with version control (Git)']","['.NET', 'C#', 'ASP.NET MVC', 'Entity Framework', 'SQL Server', 'LINQ', 'Visual Studio', 'Unit Testing']",0,1,"['Visual Studio', 'C#', 'Entity Framework', 'SQL Server', 'LINQ', 'Unit Testing', 'MVC', '.NET Framework', 'HTML', 'JavaScript', 'VB.NET', 'ASP.NET', 'Git', 'CSS', '.NET Core']","['SQL Server', 'JavaScript', 'Visual Studio', 'C#', 'Entity Framework', 'LINQ', 'Unit Testing']","['MVC', '.NET Framework', 'HTML', 'VB.NET', 'ASP.NET', 'Git', 'CSS', '.NET Core']"
AI001,AI Engineer - Fresher,Entry-Level,"['Python', 'Java', 'C++', 'R', 'Supervised/Unsupervised Learning', 'Regression', 'Classification', 'Clustering', 'TensorFlow', 'PyTorch', 'Keras', 'Scikit-learn', 'Neural Networks', 'OpenCV', 'NLTK', 'Pandas', 'NumPy', 'SQL', 'MongoDB', 'NoSQL']","['Assist in developing AI models', 'Preprocess data', 'Implement basic ML algorithms', 'Participate in hackathons and academic projects']","['AI', 'ML', 'Fresher', 'Entry-Level', 'Python', 'Deep Learning', 'TensorFlow', 'PyTorch']",0,1,"['Supervised', 'PyTorch', 'MongoDB', 'OpenCV', 'NoSQL', 'Classification', 'Scikit-learn', 'Clustering', 'TensorFlow', 'Regression', 'R', 'C++', 'Pandas', 'Neural Networks', 'NLTK', 'Unsupervised Learning', 'Keras', 'SQL', 'Java', 'Python', 'NumPy']","['MongoDB', 'NoSQL', 'C++', 'SQL', 'Java', 'Python', 'Supervised', 'PyTorch', 'OpenCV', 'Classification']","['Scikit-learn', 'Clustering', 'TensorFlow', 'Regression', 'R', 'Pandas', 'Neural Networks', 'NLTK', 'Unsupervised Learning', 'Keras', 'NumPy']"
AI010,AI Engineer - Experienced,Mid-Senior Level,"['Python', 'Java', 'C++', 'R', 'Deep Learning', 'Reinforcement Learning', 'NLP', 'Computer Vision', 'Generative AI', 'LLMs', 'TensorFlow', 'PyTorch', 'Scikit-learn', 'Hugging Face Transformers', 'ONNX', 'AWS', 'GCP', 'Azure', 'CI/CD', 'MLOps', 'Apache Spark', 'Hadoop', 'Docker', 'Kubernetes', 'Model Monitoring', 'SHAP', 'LIME']","['Architect and deploy scalable AI models', 'Optimize deep learning and NLP pipelines', 'Integrate AI solutions with cloud platforms', 'Lead AI projects']","['AI', 'ML', 'Mid-Senior Level', 'Deep Learning', 'NLP', 'Cloud', 'MLOps', 'TensorFlow', 'PyTorch']",3,6,"['PyTorch', 'MLOps', 'AWS', 'Deep Learning', 'LIME', 'Scikit-learn', 'SHAP', 'TensorFlow', 'ONNX', 'R', 'Azure', 'Computer Vision', 'C++', 'GCP', 'NLP', 'CI', 'Docker', 'Apache Spark', 'Hugging Face Transformers', 'CD', 'Kubernetes', 'Model Monitoring', 'Generative AI', 'Java', 'Python', 'Reinforcement Learning', 'LLMs', 'Hadoop']","['AWS', 'Azure', 'C++', 'GCP', 'Docker', 'Kubernetes', 'Java', 'Python', 'Hadoop', 'PyTorch', 'MLOps', 'Deep Learning', 'LIME', 'Scikit-learn']","['SHAP', 'TensorFlow', 'ONNX', 'R', 'Computer Vision', 'NLP', 'CI', 'Apache Spark', 'Hugging Face Transformers', 'CD', 'Model Monitoring', 'Generative AI', 'Reinforcement Learning', 'LLMs']"
AI-F-001,AI Prompt Engineer,Fresher,"['Python basics', 'JavaScript basics', 'Intro to NLP', 'Hugging Face Transformers basics', 'SpaCy basics', 'NLTK basics', 'Prompt writing fundamentals', 'OpenAI GPT models intro', 'TensorFlow basics', 'PyTorch basics', 'Critical thinking', 'Communication', 'Collaboration', 'Creativity']","['Assist in designing prompts for AI models', 'Test and evaluate prompt effectiveness', 'Collaborate with AI/data science teams', 'Document prompt experiments', 'Support AI model integration tasks']","['Prompt Engineering', 'NLP', 'Python', 'TensorFlow', 'PyTorch', 'AI Model Optimization', 'Hugging Face', 'GPT', 'Data Analysis']",0,1,"['NLTK', 'OpenAI GPT models intro', 'PyTorch', 'Critical thinking', 'SpaCy', 'Communication', 'Creativity', 'NLP', 'Collaboration', 'TensorFlow', 'Python', 'Hugging Face Transformers', 'Prompt writing', 'JavaScript']","['Python', 'JavaScript', 'NLTK', 'OpenAI GPT models intro', 'PyTorch', 'Critical thinking', 'SpaCy']","['Communication', 'Creativity', 'NLP', 'Collaboration', 'TensorFlow', 'Hugging Face Transformers', 'Prompt writing']"
AND-F-01,Android Developer Intern,Fresher,"['Java', 'Kotlin', 'Android Studio', 'XML', 'REST APIs', 'SQLite', 'UI/UX Basics', 'Git', 'MVC']","['Assist in building small Android app modules.', 'Write clean code in Java and Kotlin under supervision.', 'Follow Material Design guidelines for UI development.', 'Integrate simple REST APIs and store data locally.', 'Participate in basic unit testing and debugging.']","['Java', 'Kotlin', 'Android Studio', 'Material Design', 'UI/UX Design', 'Android SDK', 'REST API', 'SQLite', 'Mobile Development']",0,0,"['REST APIs', 'Kotlin', 'Git', 'XML', 'Java', 'MVC', 'SQLite', 'UX', 'Android Studio', 'UI']","['REST APIs', 'Java', 'SQLite', 'Kotlin', 'Git']","['XML', 'MVC', 'UX', 'Android Studio', 'UI']"
AND-F-02,Junior Android Developer,Fresher,"['Java', 'Kotlin', 'Android Studio', 'XML', 'Git', 'REST API', 'SQLite', 'UI/UX Design']","['Develop Android app screens with XML layouts.', 'Collaborate with designers to implement UI components.', 'Integrate basic REST APIs and handle JSON responses.', 'Participate in peer code reviews.', 'Document small modules and features for clarity.']","['Java', 'Kotlin', 'Android Studio', 'Material Design', 'UI/UX Design', 'REST API', 'SQLite']",0,0,"['Kotlin', 'XML', 'UX Design', 'REST API', 'Java', 'SQLite', 'Git', 'Android Studio', 'UI']","['REST API', 'Java', 'SQLite', 'Kotlin']","['XML', 'UX Design', 'Git', 'Android Studio', 'UI']"
AND-F-03,Android App Developer Trainee,Fresher,"['Kotlin', 'Java', 'Android Studio', 'UI/UX Basics', 'SQLite', 'MVC', 'REST APIs', 'Git']","['Implement small app features using Kotlin and Java.', 'Assist in connecting apps to APIs for basic data exchange.', 'Follow app architecture patterns (MVC) under supervision.', 'Debug minor issues using Android Studio tools.', 'Learn and apply version control using Git.']","['Kotlin', 'Java', 'Android Studio', 'Material Design', 'UI/UX Design', 'Android SDK', 'REST API', 'SQLite']",0,0,"['REST APIs', 'Kotlin', 'Git', 'Java', 'MVC', 'SQLite', 'UX', 'Android Studio', 'UI']","['REST APIs', 'Java', 'SQLite', 'Kotlin']","['Git', 'MVC', 'UX', 'Android Studio', 'UI']"
AND-F-04,Entry-level Android Developer,Fresher,"['Java', 'Kotlin', 'Android Studio', 'XML', 'Material Design', 'SQLite', 'REST API', 'Git']","['Build Android app screens and connect basic APIs.', 'Ensure responsive layouts and follow Material Design principles.', 'Write unit tests for small modules.', 'Document development workflows.', 'Collaborate with senior developers for guidance.']","['Java', 'Kotlin', 'Android Studio', 'Material Design', 'UI/UX Design', 'REST API', 'SQLite']",0,0,"['Kotlin', 'Android Studio', 'XML', 'REST API', 'Java', 'SQLite', 'Git', 'Material Design']","['REST API', 'Java', 'SQLite', 'Kotlin']","['Android Studio', 'XML', 'Git', 'Material Design']"
AND-F-06,Associate Android Developer,Fresher,"['Java', 'Kotlin', 'Android Studio', 'XML', 'UI/UX Design', 'SQLite', 'REST API', 'Git']","['Develop academic or POC Android app features.', 'Ensure proper UI/UX implementation using Material Design.', 'Connect apps to REST APIs and handle JSON data.', 'Debug minor issues and maintain local storage.', 'Follow version control practices using Git.']","['Java', 'Kotlin', 'Android Studio', 'Material Design', 'UI/UX Design', 'REST API', 'SQLite']",0,0,"['Kotlin', 'XML', 'UX Design', 'REST API', 'Java', 'SQLite', 'Git', 'Android Studio', 'UI']","['REST API', 'Java', 'SQLite', 'Kotlin']","['XML', 'UX Design', 'Git', 'Android Studio', 'UI']"
AND-F-07,Trainee Android App Developer,Fresher,"['Kotlin', 'Java', 'Android Studio', 'XML', 'UI/UX Basics', 'SQLite', 'REST API', 'Git']","['Assist in coding Android app modules in Java/Kotlin.', 'Apply Material Design and UI/UX best practices.', 'Perform unit testing for small features.', 'Connect apps to REST APIs for demonstration projects.', 'Document code and workflows under supervision.']","['Kotlin', 'Java', 'Android Studio', 'Material Design', 'UI/UX Design', 'REST API', 'SQLite']",0,0,"['Kotlin', 'Git', 'XML', 'REST API', 'Java', 'SQLite', 'UX', 'Android Studio', 'UI']","['REST API', 'Java', 'SQLite', 'Kotlin']","['Git', 'XML', 'UX', 'Android Studio', 'UI']"
